,Kolapur,Ahmedabad,Vellore,Agra,Cuttack,Guwahati,Kolkata,Aligarh,Madurai,Raipur,Thiruvananthapuram,Jhansi,Patiala,Visakhapatnam,Kota,Jaipur,Jammu,Goa,Chennai,Varanasi,Vadodara,Jamshedpur,Aurangabad,Jabalpur,Leh,Gandhinagar,Jaisalmer,Chandigarh,Hyderabad,Nashik,Ranchi,Pune,Jodhpur,Indore,Jalgaon,Nanded,Gangtok,Bhopal,Patna,Srinagar,Delhi,Gwalior,Solapur,Bangalore,Bikaner,Ghaziabad,Rajkot,Lucknow,Dwarka,Mumbai
Kolapur,100000.0,137.513,100000.0,737.237,100000.0,100000.0,100000.0,787.43,100000.0,100000.0,100000.0,733.689,841.226,100000.0,466.164,538.546,100000.0,985.901,100000.0,100000.0,239.208,100000.0,587.636,853.919,100000.0,128.455,357.19,910.967,100000.0,484.865,100000.0,638.528,301.554,453.161,525.044,786.061,100000.0,593.931,100000.0,100000.0,762.516,706.893,769.65,100000.0,486.823,788.614,195.305,991.731,327.281,563.09
Ahmedabad,137.513,100000.0,100000.0,715.165,100000.0,100000.0,100000.0,775.508,100000.0,954.543,100000.0,676.243,879.823,100000.0,423.075,541.405,100000.0,869.221,100000.0,100000.0,102.093,100000.0,450.54,755.166,100000.0,23.441,479.57,948.657,875.34,356.129,100000.0,515.603,365.698,339.102,388.322,648.95,100000.0,494.554,100000.0,100000.0,772.896,665.641,637.919,100000.0,558.213,796.692,199.104,943.527,380.411,452.822
Vellore,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,351.499,975.47,523.598,100000.0,100000.0,714.587,100000.0,100000.0,100000.0,598.862,142.775,100000.0,100000.0,100000.0,875.857,100000.0,100000.0,100000.0,100000.0,100000.0,511.621,973.135,100000.0,840.031,100000.0,100000.0,964.518,729.06,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,687.538,154.314,100000.0,100000.0,100000.0,100000.0,100000.0,947.486
Agra,737.237,715.165,100000.0,100000.0,100000.0,100000.0,100000.0,78.774,100000.0,753.526,100000.0,193.139,373.738,100000.0,297.258,219.113,685.578,100000.0,100000.0,539.217,727.339,958.225,852.954,485.771,775.893,695.213,717.183,411.133,100000.0,902.576,848.612,100000.0,504.35,538.76,745.374,889.318,100000.0,438.185,730.597,823.615,180.843,108.641,100000.0,100000.0,472.531,179.075,906.589,292.669,100000.0,100000.0
Cuttack,100000.0,100000.0,100000.0,100000.0,100000.0,872.17,347.177,100000.0,100000.0,449.956,100000.0,928.74,100000.0,407.345,100000.0,100000.0,100000.0,100000.0,100000.0,614.188,100000.0,260.479,100000.0,681.606,100000.0,100000.0,100000.0,100000.0,852.362,100000.0,326.335,100000.0,100000.0,100000.0,100000.0,910.946,809.12,928.847,574.549,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,867.006,100000.0,100000.0
Guwahati,100000.0,100000.0,100000.0,100000.0,872.17,100000.0,527.185,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,882.252,100000.0,675.635,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,720.719,100000.0,100000.0,100000.0,100000.0,100000.0,337.398,100000.0,667.344,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
Kolkata,100000.0,100000.0,100000.0,100000.0,347.177,527.185,100000.0,100000.0,100000.0,710.889,100000.0,100000.0,100000.0,753.743,100000.0,100000.0,100000.0,100000.0,100000.0,625.113,100000.0,223.49,100000.0,865.811,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,323.879,100000.0,100000.0,100000.0,100000.0,100000.0,527.472,100000.0,470.781,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,887.592,100000.0,100000.0
Aligarh,787.43,775.508,100000.0,78.774,100000.0,100000.0,100000.0,100000.0,100000.0,816.106,100000.0,264.94,312.173,100000.0,365.371,252.673,622.46,100000.0,100000.0,560.792,793.932,987.177,930.625,553.282,699.055,754.748,733.389,342.108,100000.0,976.882,877.408,100000.0,535.401,615.2,822.797,967.89,100000.0,516.948,738.853,756.537,126.073,185.415,100000.0,100000.0,474.572,114.742,963.072,299.738,100000.0,100000.0
Madurai,100000.0,100000.0,351.499,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,175.192,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,729.059,447.74,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,838.665,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,928.949,348.981,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
Raipur,100000.0,954.543,975.47,753.526,449.956,100000.0,710.889,816.106,100000.0,100000.0,100000.0,564.677,100000.0,426.643,724.154,862.851,100000.0,100000.0,914.169,475.07,880.606,502.497,673.371,274.749,100000.0,951.779,100000.0,100000.0,540.98,828.612,447.639,868.255,100000.0,617.597,636.313,508.12,977.911,490.201,601.239,100000.0,934.162,654.223,765.217,100000.0,100000.0,929.411,100000.0,624.327,100000.0,954.574
