,City,Latitude,Longitude
0,Kolapur,23.8964954,71.6246531
1,Ahmedabad,23.0216238,72.5797068
2,Vellore,12.7948109,79.0006410968549
3,Agra,27.1752554,78.0098161
4,Cuttack,20.4686,85.8792
5,Guwahati,26.1805978,91.753943
6,Kolkata,22.5726723,88.3638815
7,Aligarh,27.87698975,78.13729027600994
8,Madurai,9.833333,77.833333
9,Raipur,21.2379469,81.6336833
10,Thiruvananthapuram,8.5241122,76.9360573
11,Jhansi,25.531031149999997,78.65268901605349
12,Patiala,30.2090874,76.3398720856221
13,Visakhapatnam,17.7231276,83.3012842
14,Kota,25.1968256,76.00089330885552
15,Jaipur,26.916194,75.820349
16,Jammu,32.7185614,74.8580917
17,Goa,15.3004543,74.0855134
18,Chennai,13.0801721,80.2838331
19,Varanasi,25.3356491,83.0076292
20,Vadodara,22.2973142,73.1942567
21,Jamshedpur,22.8015194,86.2029579
22,Aurangabad,19.877263,75.3390241
23,Jabalpur,23.1608938,79.9497702
24,Leh,34.1642029,77.5848133
25,Gandhinagar,23.2232877,72.6492267
26,Jaisalmer,27.02801615,70.7785056232077
27,Chandigarh,30.7194022,76.7646552
28,Hyderabad,17.38878595,78.46106473453146
29,Nashik,20.0112475,73.7902364
30,Ranchi,23.3700354,85.3250132
31,Pune,18.521428,73.8544541
32,Jodhpur,26.2967719,73.0351433
33,Indore,22.7203616,75.8681996
34,Jalgaon,20.84351185,75.52592658756026
35,Nanded,19.17257215,77.29141237169956
36,Gangtok,27.329046,88.6122673
37,Bhopal,23.2584857,77.401989
38,Patna,25.6093239,85.1235252
39,Srinagar,34.0747444,74.8204443
40,Delhi,28.6273928,77.1716954
41,Gwalior,26.2037247,78.1573628
42,Solapur,17.84990665,75.27632027348457
43,Bangalore,12.9791198,77.5912997
44,Bikaner,28.0159286,73.3171367
45,Ghaziabad,28.711241,77.4445372
46,Rajkot,22.3051991,70.8028335
47,Lucknow,26.8381,80.9346001
48,Dwarka,22.2471009,68.9742446
49,Mumbai,18.9387711,72.8353355
